,race_type,course_len,ground_state,class,avg_frame,avg_horse,total_top3,frame_1_top3,frame_2_top3,frame_3_top3,frame_4_top3,frame_5_top3,frame_6_top3,frame_7_top3,frame_8_top3,horse_1_top3,horse_2_top3,horse_3_top3,horse_4_top3,horse_5_top3,horse_6_top3,horse_7_top3,horse_8_top3,horse_9_top3,horse_10_top3,horse_11_top3,horse_12_top3,horse_13_top3,horse_14_top3,horse_15_top3,horse_16_top3,horse_17_top3,horse_18_top3
385,ダート,1900,全,all,4.72,6.83,573,58,64,61,66,72,88,88,76,43,49,49,39,49,49,48,52,46,34,36,24,24,15,6,10,0,0
386,ダート,1900,良,all,4.69,6.74,378,42,45,39,43,42,54,61,52,29,35,33,26,30,32,33,32,34,21,22,17,13,11,5,5,0,0
387,ダート,1900,稍重,all,5.18,7.23,93,7,9,7,14,19,16,11,10,7,6,8,6,11,9,8,10,5,3,8,4,5,1,0,2,0,0
388,ダート,1900,重,all,4.68,7.38,57,6,7,12,4,4,7,9,8,4,5,6,5,5,4,3,4,2,4,3,1,4,3,1,3,0,0
389,ダート,1900,不良,all,5.25,7.57,45,3,3,3,5,7,11,7,6,3,3,2,2,3,4,4,6,5,6,3,2,2,0,0,0,0,0
390,ダート,1900,全,未勝利,4.77,6.84,195,21,17,22,23,25,31,29,27,18,11,21,7,18,19,17,16,14,19,12,6,11,2,2,2,0,0
391,ダート,1900,良,未勝利,4.86,6.6,123,11,12,14,15,15,16,20,20,10,7,14,5,14,11,11,11,9,12,8,3,4,1,1,2,0,0
392,ダート,1900,稍重,未勝利,5.0,7.41,33,3,3,3,5,5,8,3,3,3,1,4,1,2,4,4,2,2,1,3,2,4,0,0,0,0,0
393,ダート,1900,重,未勝利,3.7,5.76,21,6,2,4,1,2,1,3,2,4,3,2,1,2,2,0,1,0,2,0,0,2,1,1,0,0,0
394,ダート,1900,不良,未勝利,5.81,8.87,18,1,0,1,2,3,6,3,2,1,0,1,0,0,2,2,2,3,4,1,1,1,0,0,0,0,0
395,ダート,1900,全,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,ダート,1900,良,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,ダート,1900,稍重,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,ダート,1900,重,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,ダート,1900,不良,新馬,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,ダート,1900,全,1勝クラス,4.96,6.52,201,15,21,18,21,26,34,34,32,13,21,15,14,20,19,16,22,19,8,12,12,4,5,1,0,0,0
401,ダート,1900,良,1勝クラス,5.01,6.64,126,11,12,12,10,12,24,24,21,9,13,9,6,10,12,10,13,14,5,7,10,3,4,1,0,0,0
402,ダート,1900,稍重,1勝クラス,5.06,6.76,42,4,5,2,7,9,5,5,5,4,5,2,4,7,5,2,5,1,2,3,1,1,0,0,0,0,0
403,ダート,1900,重,1勝クラス,5.38,6.75,15,0,2,2,2,1,2,3,3,0,1,3,2,0,0,2,3,2,0,1,0,0,1,0,0,0,0
404,ダート,1900,不良,1勝クラス,5.24,6.72,18,0,2,2,2,4,3,2,3,0,2,1,2,3,2,2,1,2,1,1,1,0,0,0,0,0,0
405,ダート,1900,全,2勝クラス,4.08,7.01,81,16,9,9,9,6,11,14,7,10,9,4,8,4,5,6,6,4,4,6,2,4,5,2,2,0,0
406,ダート,1900,良,2勝クラス,4.04,7.07,66,14,6,5,9,6,8,12,6,8,7,4,6,2,4,6,4,4,2,5,2,4,4,2,2,0,0
407,ダート,1900,稍重,2勝クラス,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
