,race_type,course_len,ground_state,class,上り,通過1,通過2,通過3,通過4
142,芝,2200,稍重,all,35.17,3.18,3.18,3.18,2.76
143,芝,2200,重,all,35.57,8.77,9.1,7.77,7.44
144,芝,2200,不良,all,37.15,5.83,5.83,4.7,4.7
145,芝,2200,全,未勝利,35.19,8.51,8.69,6.59,6.83
146,芝,2200,良,未勝利,34.8,9.29,9.34,7.2,7.74
147,芝,2200,稍重,未勝利,35.7,1.12,1.12,1.12,1.12
148,芝,2200,重,未勝利,36.6,12.0,13.0,9.0,8.0
149,芝,2200,不良,未勝利,,,,,
150,芝,2200,全,新馬,,,,,
151,芝,2200,良,新馬,,,,,
152,芝,2200,稍重,新馬,,,,,
153,芝,2200,重,新馬,,,,,
154,芝,2200,不良,新馬,,,,,
155,芝,2200,全,1勝クラス,35.56,6.84,6.41,5.93,5.75
156,芝,2200,良,1勝クラス,35.14,8.37,7.6,7.19,6.86
157,芝,2200,稍重,1勝クラス,34.8,2.0,2.0,2.0,2.0
158,芝,2200,重,1勝クラス,35.2,6.0,6.0,6.0,6.0
159,芝,2200,不良,1勝クラス,37.15,5.83,5.83,4.7,4.7
160,芝,2200,全,2勝クラス,34.74,7.89,7.75,7.75,6.95
161,芝,2200,良,2勝クラス,34.7,7.79,7.61,7.61,6.61
162,芝,2200,稍重,2勝クラス,,,,,
163,芝,2200,重,2勝クラス,34.9,8.31,8.31,8.31,8.31
164,芝,2200,不良,2勝クラス,,,,,
165,芝,2200,全,3勝クラス,35.0,2.57,2.57,2.57,2.57
166,芝,2200,良,3勝クラス,35.0,2.57,2.57,2.57,2.57
167,芝,2200,稍重,3勝クラス,,,,,
168,芝,2200,重,3勝クラス,,,,,
169,芝,2200,不良,3勝クラス,,,,,
170,芝,2200,全,オープン,35.0,6.43,6.43,6.43,5.14
171,芝,2200,良,オープン,,,,,
172,芝,2200,稍重,オープン,35.0,6.43,6.43,6.43,5.14
173,芝,2200,重,オープン,,,,,
174,芝,2200,不良,オープン,,,,,
175,ダート,1200,全,all,36.71,5.36,5.04,,
176,ダート,1200,良,all,36.89,5.75,5.51,,
177,ダート,1200,稍重,all,36.05,7.64,7.07,,
178,ダート,1200,重,all,36.43,2.68,2.3,,
179,ダート,1200,不良,all,36.33,3.75,3.0,,
180,ダート,1200,全,未勝利,37.07,3.11,2.81,,
181,ダート,1200,良,未勝利,37.31,3.06,2.92,,
182,ダート,1200,稍重,未勝利,,,,,
183,ダート,1200,重,未勝利,36.8,2.53,2.25,,
184,ダート,1200,不良,未勝利,36.45,4.5,3.38,,
185,ダート,1200,全,新馬,37.6,2.81,2.81,,
186,ダート,1200,良,新馬,37.6,2.81,2.81,,
