,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_type,course_len,weather,ground_state,date,class,horse_id,jockey_id
202504010104,11,2,2,ラエール,牝6,58.0,上野翔,0:3:11.0,7,34.1,10.0,428,[東] 土田稔,障害,2890,晴,良,2025年05月03日,オープン,2019106851,01087
202504010104,12,6,9,ロンギングバース,セ7,60.0,五十嵐雄,0:3:11.3,1.3/4,35.6,11.0,458,[東] 竹内正洋,障害,2890,晴,良,2025年05月03日,オープン,2018102216,01069
202504010104,13,8,14,テイエムエメラルド,牝7,58.0,小野寺祐,0:3:12.1,5,73.9,12.0,470,[西] 小椋研介,障害,2890,晴,良,2025年05月03日,オープン,2018102822,01123
202504010104,14,3,4,ティートラップ,牡8,60.0,草野太郎,0:3:13.8,10,163.2,14.0,480,[東] 伊藤伸一,障害,2890,晴,良,2025年05月03日,オープン,2017103381,01113
202504010105,1,8,16,マーゴットカーラ,牝3,55.0,斎藤新,0:1:22.5,nan,22.9,9.0,428,[西] 石坂公一,芝,1400,晴,良,2025年05月03日,未勝利,2022100492,01178
202504010105,2,6,12,ナンナンプー,牝3,53.0,長浜鴻緒,0:1:22.9,2,41.9,10.0,438,[東] 矢嶋大樹,芝,1400,晴,良,2025年05月03日,未勝利,2022102878,01214
202504010105,3,6,11,オカゲサン,牡3,57.0,吉田隼人,0:1:22.9,クビ,7.4,4.0,498,[東] 尾形和幸,芝,1400,晴,良,2025年05月03日,未勝利,2022104068,01095
202504010105,4,8,15,ショウナンタハティ,牡3,57.0,丹内祐次,0:1:23.1,1,5.7,2.0,500,[東] 大竹正博,芝,1400,晴,良,2025年05月03日,未勝利,2022103911,01091
202504010105,5,1,1,サウンドルーチェ,牝3,52.0,和田陽希,0:1:23.2,1,12.4,5.0,434,[西] 渡辺薫彦,芝,1400,晴,良,2025年05月03日,未勝利,2022105267,01223
202504010105,6,1,2,フェンスブレイカー,牡3,57.0,松若風馬,0:1:23.3,クビ,6.6,3.0,544,[東] 田島俊明,芝,1400,晴,良,2025年05月03日,未勝利,2022104095,01154
202504010105,7,5,10,ダイヤノゴトク,牝3,51.0,小林美駒,0:1:23.3,クビ,19.9,8.0,452,[西] 小栗実,芝,1400,晴,良,2025年05月03日,未勝利,2022105125,01206
202504010105,8,3,6,キントラダンサー,牝3,55.0,佐々木大,0:1:23.5,1,2.4,1.0,464,[西] 長谷川浩,芝,1400,晴,良,2025年05月03日,未勝利,2022104387,01197
202504010105,9,4,8,ノーブルオリンポス,セ3,57.0,武藤雅,0:1:23.6,1/2,143.4,14.0,430,[東] 武藤善則,芝,1400,晴,良,2025年05月03日,未勝利,2022100528,01169
202504010105,10,4,7,スペシャルバニー,牝3,52.0,舟山瑠泉,0:1:23.6,クビ,15.0,6.0,396,[東] 田村康仁,芝,1400,晴,良,2025年05月03日,未勝利,2022101618,01221
202504010105,11,5,9,ブレゲアン,牡3,57.0,酒井学,0:1:23.7,1/2,60.4,11.0,470,[東] 田村康仁,芝,1400,晴,良,2025年05月03日,未勝利,2022106951,01034
202504010105,12,2,3,オーサムシャドウ,牝3,52.0,鷲頭虎太,0:1:24.1,2.1/2,164.7,15.0,416,[西] 斉藤崇史,芝,1400,晴,良,2025年05月03日,未勝利,2022105349,01202
202504010105,13,2,4,リラゲイル,牡3,55.0,永島まな,0:1:24.4,2,110.9,12.0,490,[西] 須貝尚介,芝,1400,晴,良,2025年05月03日,未勝利,2022103518,01187
202504010105,14,7,14,ルブリアン,牡3,54.0,柴田裕一,0:1:24.5,クビ,16.8,7.0,488,[西] 佐々木晶,芝,1400,晴,良,2025年05月03日,未勝利,2022106320,01212
202504010105,15,7,13,スパディール,セ3,54.0,今村聖奈,0:1:25.0,3.1/2,138.8,13.0,438,[東] 武井亮,芝,1400,晴,良,2025年05月03日,未勝利,2022104470,01193
202504010105,16,3,5,ジューンセレッソ,牝3,55.0,小沢大仁,0:1:26.1,7,178.2,16.0,396,[西] 武英智,芝,1400,晴,良,2025年05月03日,未勝利,2022100365,01185
202504010106,1,7,13,シャインバオバブ,牡3,57.0,古川吉洋,0:2:29.8,nan,4.0,2.0,496,[西] 本田優,芝,2400,晴,良,2025年05月03日,未勝利,2022106180,01015
202504010106,2,3,6,ポッポノフェスタ,牡3,57.0,西村太一,0:2:30.2,2.1/2,9.2,4.0,456,[東] 堀内岳志,芝,2400,晴,良,2025年05月03日,未勝利,2022105614,01131
202504010106,3,2,3,ロードアルディート,牡3,54.0,和田陽希,0:2:30.3,1/2,13.9,6.0,460,[西] 杉山晴紀,芝,2400,晴,良,2025年05月03日,未勝利,2022100637,01223
202504010106,4,6,12,シャインフリーリー,牡3,57.0,丹内祐次,0:2:30.5,1,3.8,1.0,474,[東] 矢嶋大樹,芝,2400,晴,良,2025年05月03日,未勝利,2022101495,01091
202504010106,5,1,2,エンゲージプライド,牡3,54.0,田山旺佑,0:2:30.5,ハナ,5.6,3.0,494,[西] 新谷功一,芝,2400,晴,良,2025年05月03日,未勝利,2022103905,01220
202504010106,6,8,16,ヒルノガリシア,牡3,57.0,秋山稔樹,0:2:30.6,3/4,154.8,14.0,444,[西] 北出成人,芝,2400,晴,良,2025年05月03日,未勝利,2022103815,01181
202504010106,7,1,1,ジャックオダモ,牡3,57.0,佐々木大,0:2:30.7,1/2,10.0,5.0,510,[西] 矢作芳人,芝,2400,晴,良,2025年05月03日,未勝利,2022110044,01197
202504010106,8,4,7,サンダーフレア,牝3,55.0,吉田隼人,0:2:31.0,1.3/4,24.1,10.0,456,[東] 久保田貴,芝,2400,晴,良,2025年05月03日,未勝利,2022102653,01095
202504010106,9,2,4,エコログロス,牡3,55.0,長浜鴻緒,0:2:31.3,1.1/2,19.2,8.0,420,[東] 手塚貴久,芝,2400,晴,良,2025年05月03日,未勝利,2022101430,01214
202504010106,10,8,15,コパカバーナ,牝3,51.0,小林美駒,0:2:31.3,クビ,60.5,12.0,390,[西] 森田直行,芝,2400,晴,良,2025年05月03日,未勝利,2022102703,01206
202504010106,11,3,5,タガノカワチイ,牝3,52.0,柴田裕一,0:2:31.4,1/2,212.2,16.0,432,[西] 岡田稲男,芝,2400,晴,良,2025年05月03日,未勝利,2022106557,01212
202504010106,12,5,9,エルモドンナ,牝3,55.0,小沢大仁,0:2:31.6,1.1/4,19.8,9.0,466,[西] 杉山晴紀,芝,2400,晴,良,2025年05月03日,未勝利,2022105186,01185
202504010106,13,6,11,レッドイストワール,牡3,57.0,斎藤新,0:2:32.1,3.1/2,29.5,11.0,462,[東] 田中博康,芝,2400,晴,良,2025年05月03日,未勝利,2022107261,01178
202504010106,14,5,10,ダンスデュヴァン,牡3,57.0,酒井学,0:2:32.2,アタマ,15.3,7.0,480,[西] 武英智,芝,2400,晴,良,2025年05月03日,未勝利,2022105841,01034
202504010106,15,4,8,バークテソーロ,牡3,56.0,横山琉人,0:2:33.5,8,170.7,15.0,430,[東] 稲垣幸雄,芝,2400,晴,良,2025年05月03日,未勝利,2022102254,01192
202504010106,16,7,14,カーボナード,牡3,57.0,亀田温心,0:2:34.7,7,77.8,13.0,462,[西] 斉藤崇史,芝,2400,晴,良,2025年05月03日,未勝利,2022105013,01176
202504010107,1,7,8,アルゴナヴィス,牡4,58.0,荻野極,0:1:54.5,nan,1.9,1.0,480,[西] 池江泰寿,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2021105750,01160
202504010107,2,8,11,メイショウクーガー,牡5,58.0,中井裕二,0:1:54.8,2,3.1,2.0,490,[西] 中内田充,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2020106205,01141
202504010107,3,6,6,ベルイストワール,牝4,56.0,杉原誠人,0:1:55.0,3/4,5.3,3.0,542,[東] 宮田敬介,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2021100606,01135
202504010107,4,1,1,エイカイボクサー,牡4,58.0,小沢大仁,0:1:55.2,1.1/2,37.4,7.0,482,[西] 藤原英昭,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2021105298,01185
202504010107,5,7,9,メイショウオグマ,セ6,58.0,国分恭介,0:1:55.4,1.1/2,32.9,6.0,492,[西] 安達昭夫,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2019104261,01124
202504010107,6,3,3,タナバタ,牡4,58.0,丹内祐次,0:1:55.5,1/2,11.0,4.0,492,[東] 武井亮,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2021105969,01091
202504010107,7,5,5,フジフォンテ,セ6,58.0,木幡初也,0:1:55.9,2.1/2,113.9,10.0,464,[東] 粕谷昌央,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2019105759,01153
202504010107,8,8,10,ショーケン,セ5,58.0,斎藤新,0:1:56.4,3,17.4,5.0,504,[西] 東田明士,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2020103997,01178
202504010107,9,6,7,ジュタドール,牝5,54.0,永島まな,0:1:56.6,3/4,71.8,8.0,486,[東] 天間昭一,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2020107109,01187
202504010107,10,2,2,エンツォ,牡4,58.0,酒井学,0:1:56.8,1.1/2,93.2,9.0,458,[東] 田村康仁,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2021105076,01034
202504010107,11,4,4,ブルーリヴァーサル,牡5,58.0,的場勇人,0:1:57.7,5,187.1,11.0,448,[東] 的場均,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2020104617,01108
202504010108,1,6,8,ドーンコーラス,牝4,56.0,佐々木大,0:1:33.7,nan,2.5,1.0,450,[東] 萩原清,芝,1600,晴,良,2025年05月03日,1勝クラス,2021105415,01197
202504010108,2,2,2,オリーボーレン,牝4,55.0,横山琉人,0:1:33.9,1,7.9,4.0,462,[西] 藤岡健一,芝,1600,晴,良,2025年05月03日,1勝クラス,2021105739,01192
202504010108,3,4,5,フォーカルフラワー,牝5,56.0,小沢大仁,0:1:34.5,3.1/2,4.0,2.0,454,[東] 国枝栄,芝,1600,晴,良,2025年05月03日,1勝クラス,2020102926,01185
202504010108,4,6,9,ビーグラッド,牝4,56.0,吉田隼人,0:1:34.7,1.1/2,7.0,3.0,440,[西] 岡田稲男,芝,1600,晴,良,2025年05月03日,1勝クラス,2021100683,01095
202504010108,5,7,11,パヴァーヌ,牝5,53.0,佐藤翔馬,0:1:35.1,2.1/2,156.3,10.0,454,[東] 伊藤圭三,芝,1600,晴,良,2025年05月03日,1勝クラス,2020100864,01207
202504010108,6,7,10,オタルグリーン,牝4,52.0,小林美駒,0:1:35.3,1,9.2,5.0,442,[西] 中竹和也,芝,1600,晴,良,2025年05月03日,1勝クラス,2021105289,01206
202504010108,7,8,13,ペイシャアンジェロ,牝5,54.0,長浜鴻緒,0:1:35.4,1/2,64.9,9.0,456,[東] 伊藤伸一,芝,1600,晴,良,2025年05月03日,1勝クラス,2020102135,01214
202504010108,8,5,7,アルバニー,牝4,56.0,古川吉洋,0:1:35.5,クビ,13.7,7.0,460,[西] 千田輝彦,芝,1600,晴,良,2025年05月03日,1勝クラス,2021105715,01015
202504010108,9,8,12,マテンロウディアナ,牝4,53.0,柴田裕一,0:1:35.5,クビ,34.7,8.0,448,[西] 中内田充,芝,1600,晴,良,2025年05月03日,1勝クラス,2021105210,01212
202504010108,10,5,6,インペリアルコート,牝5,56.0,斎藤新,0:1:35.6,1/2,9.7,6.0,442,[西] 畑端省吾,芝,1600,晴,良,2025年05月03日,1勝クラス,2020102561,01178
202504010108,11,1,1,ネクストヒロイン,牝4,56.0,武藤雅,0:1:35.8,1,209.5,11.0,410,[東] 戸田博文,芝,1600,晴,良,2025年05月03日,1勝クラス,2021100070,01169
202504010108,除,3,3,アルヴィエンヌ,牝5,56.0,小崎綾也,nan,nan,---,nan,486,[東] 浅利英明,芝,1600,晴,良,2025年05月03日,1勝クラス,2020103225,01152
202504010108,除,4,4,クスクス,牝4,56.0,荻野極,nan,nan,---,nan,478,[西] 松下武士,芝,1600,晴,良,2025年05月03日,1勝クラス,2021103665,01160
202504010109,1,3,4,バギーウィップ,牡3,57.0,武藤雅,0:1:52.8,nan,26.8,11.0,504,[東] 萩原清,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2022102987,01169
202504010109,2,2,2,ミライヘノカギ,牡3,57.0,荻野極,0:1:53.5,4,9.6,4.0,522,[東] 上原佑紀,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2022102062,01160
202504010109,3,3,5,レッドボブ,牡3,57.0,吉田隼人,0:1:53.7,1.1/4,5.1,2.0,530,[西] 田中克典,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2022105055,01095
202504010109,4,7,13,メリークリスマス,牡3,57.0,菊沢一樹,0:1:54.1,2.1/2,7.2,3.0,474,[東] 小手川準,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2022100394,01161
202504010109,5,4,7,チュウワクリスエス,牡3,57.0,原田和真,0:1:54.3,1.1/2,13.8,6.0,486,[東] 栗田徹,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2022102280,01143
202504010109,6,5,9,タガノマカシヤ,牡3,57.0,藤懸貴志,0:1:54.4,クビ,2.8,1.0,492,[西] 中村直也,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2022107134,01138
202504010109,7,2,3,ソニックステップ,牡3,57.0,小沢大仁,0:1:54.4,クビ,20.1,9.0,514,[西] 高野友和,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2022104854,01185
202504010109,8,8,15,キャストロププ,牡3,57.0,丹内祐次,0:1:54.8,2,10.3,5.0,488,[東] 尾形和幸,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2022100749,01091
202504010109,9,8,14,キョウキランブ,牡3,57.0,石神深道,0:1:55.0,1.1/2,16.8,8.0,520,[東] 古賀慎明,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2022103115,01209
202504010109,10,6,11,オリーブグリーン,牡3,57.0,川端海翼,0:1:55.1,クビ,14.0,7.0,526,[西] 矢作芳人,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2022105694,01195
202504010109,11,6,10,フィールオーサム,牝3,55.0,佐々木大,0:1:55.1,ハナ,71.9,12.0,438,[東] 岩戸孝樹,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2022105925,01197
202504010109,12,4,6,ロンパイア,牡3,57.0,斎藤新,0:1:55.2,3/4,24.8,10.0,470,[東] 尾関知人,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2022103708,01178
202504010109,13,5,8,カージオイド,牡3,57.0,杉原誠人,0:1:55.5,1.3/4,109.3,13.0,502,[東] 黒岩陽一,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2022104062,01135
202504010109,14,7,12,キタノラブミー,牝3,55.0,小林脩斗,0:1:55.6,クビ,187.0,15.0,494,[東] 萱野浩二,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2022104465,01183
202504010109,15,1,1,ヒフミバンダム,セ3,57.0,長浜鴻緒,0:1:56.2,3.1/2,174.5,14.0,466,[西] 小栗実,ダート,1800,晴,稍重,2025年05月03日,1勝クラス,2022103446,01214
202504010110,1,6,6,ライラスター,セ6,55.0,吉田隼人,0:1:46.6,nan,22.2,8.0,480,[東] 森一誠,芝,1800,晴,良,2025年05月03日,2勝クラス,2019105336,01095
202504010110,2,8,9,サダムオプシス,牡4,56.0,藤懸貴志,0:1:46.7,1,4.4,2.0,470,[西] 平田修,芝,1800,晴,良,2025年05月03日,2勝クラス,2021105474,01138
202504010110,3,7,8,デファイ,牝4,53.0,斎藤新,0:1:46.8,アタマ,9.6,5.0,460,[東] 斎藤誠,芝,1800,晴,良,2025年05月03日,2勝クラス,2021104421,01178
202504010110,4,5,5,ティンク,牝4,52.0,亀田温心,0:1:46.9,3/4,60.2,10.0,494,[東] 久保田貴,芝,1800,晴,良,2025年05月03日,2勝クラス,2021104994,01176
202504010110,5,4,4,ドラゴンヘッド,牡5,56.0,武藤雅,0:1:46.9,クビ,30.0,9.0,448,[東] 武藤善則,芝,1800,晴,良,2025年05月03日,2勝クラス,2020100495,01169
202504010110,6,7,7,マイネルオーシャン,牡4,55.0,丹内祐次,0:1:47.0,クビ,2.9,1.0,470,[東] 鹿戸雄一,芝,1800,晴,良,2025年05月03日,2勝クラス,2021106766,01091
202504010110,7,3,3,オオナミコナミ,牝4,54.0,佐々木大,0:1:47.1,3/4,7.6,4.0,492,[西] 牧浦充徳,芝,1800,晴,良,2025年05月03日,2勝クラス,2021107173,01197
202504010110,8,2,2,ツルマウカタチ,牡4,57.0,丸山元気,0:1:47.2,3/4,4.7,3.0,464,[東] 手塚貴久,芝,1800,晴,良,2025年05月03日,2勝クラス,2021102106,01127
