,race_type,course_len,ground_state,class,上り,通過1,通過2,通過3,通過4
177,芝,2200,稍重,all,,,,,
178,芝,2200,重,all,,,,,
179,芝,2200,不良,all,,,,,
180,芝,2200,全,未勝利,34.6,2.0,2.0,2.0,2.0
181,芝,2200,良,未勝利,34.6,2.0,2.0,2.0,2.0
182,芝,2200,稍重,未勝利,,,,,
183,芝,2200,重,未勝利,,,,,
184,芝,2200,不良,未勝利,,,,,
185,芝,2200,全,新馬,,,,,
186,芝,2200,良,新馬,,,,,
187,芝,2200,稍重,新馬,,,,,
188,芝,2200,重,新馬,,,,,
189,芝,2200,不良,新馬,,,,,
190,芝,2200,全,1勝クラス,,,,,
191,芝,2200,良,1勝クラス,,,,,
192,芝,2200,稍重,1勝クラス,,,,,
193,芝,2200,重,1勝クラス,,,,,
194,芝,2200,不良,1勝クラス,,,,,
195,芝,2200,全,2勝クラス,,,,,
196,芝,2200,良,2勝クラス,,,,,
197,芝,2200,稍重,2勝クラス,,,,,
198,芝,2200,重,2勝クラス,,,,,
199,芝,2200,不良,2勝クラス,,,,,
200,芝,2200,全,3勝クラス,34.3,4.5,4.5,2.2,2.2
201,芝,2200,良,3勝クラス,34.3,4.5,4.5,2.2,2.2
202,芝,2200,稍重,3勝クラス,,,,,
203,芝,2200,重,3勝クラス,,,,,
204,芝,2200,不良,3勝クラス,,,,,
205,芝,2200,全,オープン,,,,,
206,芝,2200,良,オープン,,,,,
207,芝,2200,稍重,オープン,,,,,
208,芝,2200,重,オープン,,,,,
209,芝,2200,不良,オープン,,,,,
210,芝,2400,全,all,34.6,7.5,8.2,8.6,7.2
211,芝,2400,良,all,34.6,7.5,8.2,8.6,7.2
212,芝,2400,稍重,all,,,,,
213,芝,2400,重,all,,,,,
214,芝,2400,不良,all,,,,,
215,芝,2400,全,未勝利,35.0,7.0,8.0,7.0,6.0
216,芝,2400,良,未勝利,35.0,7.0,8.0,7.0,6.0
217,芝,2400,稍重,未勝利,,,,,
218,芝,2400,重,未勝利,,,,,
219,芝,2400,不良,未勝利,,,,,
220,芝,2400,全,新馬,,,,,
221,芝,2400,良,新馬,,,,,
222,芝,2400,稍重,新馬,,,,,
223,芝,2400,重,新馬,,,,,
224,芝,2400,不良,新馬,,,,,
225,芝,2400,全,1勝クラス,35.3,4.5,6.0,7.5,6.0
226,芝,2400,良,1勝クラス,35.3,4.5,6.0,7.5,6.0
227,芝,2400,稍重,1勝クラス,,,,,
228,芝,2400,重,1勝クラス,,,,,
229,芝,2400,不良,1勝クラス,,,,,
230,芝,2400,全,2勝クラス,34.3,11.6,12.0,12.8,10.5
231,芝,2400,良,2勝クラス,34.3,11.6,12.0,12.8,10.5
232,芝,2400,稍重,2勝クラス,,,,,
233,芝,2400,重,2勝クラス,,,,,
234,芝,2400,不良,2勝クラス,,,,,
235,芝,2400,全,3勝クラス,,,,,
236,芝,2400,良,3勝クラス,,,,,
237,芝,2400,稍重,3勝クラス,,,,,
238,芝,2400,重,3勝クラス,,,,,
239,芝,2400,不良,3勝クラス,,,,,
240,芝,2400,全,オープン,34.3,2.8,2.8,2.8,2.8
241,芝,2400,良,オープン,34.3,2.8,2.8,2.8,2.8
242,芝,2400,稍重,オープン,,,,,
243,芝,2400,重,オープン,,,,,
244,芝,2400,不良,オープン,,,,,
245,芝,3000,全,all,33.8,4.0,4.0,4.0,4.0
246,芝,3000,良,all,33.8,4.0,4.0,4.0,4.0
247,芝,3000,稍重,all,,,,,
248,芝,3000,重,all,,,,,
249,芝,3000,不良,all,,,,,
250,芝,3000,全,未勝利,,,,,
251,芝,3000,良,未勝利,,,,,
252,芝,3000,稍重,未勝利,,,,,
253,芝,3000,重,未勝利,,,,,
254,芝,3000,不良,未勝利,,,,,
255,芝,3000,全,新馬,,,,,
256,芝,3000,良,新馬,,,,,
257,芝,3000,稍重,新馬,,,,,
258,芝,3000,重,新馬,,,,,
259,芝,3000,不良,新馬,,,,,
260,芝,3000,全,1勝クラス,,,,,
261,芝,3000,良,1勝クラス,,,,,
262,芝,3000,稍重,1勝クラス,,,,,
263,芝,3000,重,1勝クラス,,,,,
264,芝,3000,不良,1勝クラス,,,,,
