,race_type,course_len,ground_state,class,winner_pops,place_pops
237,芝,2200,稍重,3勝クラス,1.38,5.08
238,芝,2200,重,3勝クラス,,
239,芝,2200,不良,3勝クラス,,
240,芝,2200,全,オープン,10.29,8.14
241,芝,2200,良,オープン,,
242,芝,2200,稍重,オープン,10.29,8.14
243,芝,2200,重,オープン,,
244,芝,2200,不良,オープン,,
245,芝,2400,全,all,4.63,5.38
246,芝,2400,良,all,4.9,6.59
247,芝,2400,稍重,all,4.21,3.57
248,芝,2400,重,all,,
249,芝,2400,不良,all,,
250,芝,2400,全,未勝利,4.21,3.57
251,芝,2400,良,未勝利,,
252,芝,2400,稍重,未勝利,4.21,3.57
253,芝,2400,重,未勝利,,
254,芝,2400,不良,未勝利,,
255,芝,2400,全,新馬,,
256,芝,2400,良,新馬,,
257,芝,2400,稍重,新馬,,
258,芝,2400,重,新馬,,
259,芝,2400,不良,新馬,,
260,芝,2400,全,1勝クラス,4.9,6.59
261,芝,2400,良,1勝クラス,4.9,6.59
262,芝,2400,稍重,1勝クラス,,
263,芝,2400,重,1勝クラス,,
264,芝,2400,不良,1勝クラス,,
265,芝,2400,全,2勝クラス,,
266,芝,2400,良,2勝クラス,,
267,芝,2400,稍重,2勝クラス,,
268,芝,2400,重,2勝クラス,,
269,芝,2400,不良,2勝クラス,,
270,芝,2400,全,3勝クラス,,
271,芝,2400,良,3勝クラス,,
272,芝,2400,稍重,3勝クラス,,
273,芝,2400,重,3勝クラス,,
274,芝,2400,不良,3勝クラス,,
275,芝,2400,全,オープン,,
276,芝,2400,良,オープン,,
277,芝,2400,稍重,オープン,,
278,芝,2400,重,オープン,,
279,芝,2400,不良,オープン,,
280,ダート,1200,全,all,3.28,5.22
281,ダート,1200,良,all,3.78,5.87
282,ダート,1200,稍重,all,2.68,4.42
283,ダート,1200,重,all,3.36,5.44
284,ダート,1200,不良,all,,
285,ダート,1200,全,未勝利,2.86,5.27
286,ダート,1200,良,未勝利,2.96,6.11
287,ダート,1200,稍重,未勝利,2.04,4.09
288,ダート,1200,重,未勝利,6.0,5.6
289,ダート,1200,不良,未勝利,,
290,ダート,1200,全,新馬,5.6,5.47
291,ダート,1200,良,新馬,7.8,6.4
292,ダート,1200,稍重,新馬,1.2,3.6
293,ダート,1200,重,新馬,,
294,ダート,1200,不良,新馬,,
295,ダート,1200,全,1勝クラス,3.08,5.04
296,ダート,1200,良,1勝クラス,3.33,5.78
297,ダート,1200,稍重,1勝クラス,2.99,4.41
298,ダート,1200,重,1勝クラス,1.2,4.0
299,ダート,1200,不良,1勝クラス,,
300,ダート,1200,全,2勝クラス,4.56,5.52
301,ダート,1200,良,2勝クラス,7.2,4.8
302,ダート,1200,稍重,2勝クラス,3.0,5.8
303,ダート,1200,重,2勝クラス,2.4,6.4
304,ダート,1200,不良,2勝クラス,,
305,ダート,1200,全,3勝クラス,2.4,5.4
306,ダート,1200,良,3勝クラス,3.6,5.2
307,ダート,1200,稍重,3勝クラス,,
308,ダート,1200,重,3勝クラス,1.2,5.6
309,ダート,1200,不良,3勝クラス,,
310,ダート,1200,全,オープン,6.0,5.6
311,ダート,1200,良,オープン,,
312,ダート,1200,稍重,オープン,6.0,5.6
313,ダート,1200,重,オープン,,
314,ダート,1200,不良,オープン,,
315,ダート,1800,全,all,4.53,5.82
316,ダート,1800,良,all,5.05,5.71
317,ダート,1800,稍重,all,4.37,6.13
318,ダート,1800,重,all,2.42,5.43
319,ダート,1800,不良,all,2.4,2.4
320,ダート,1800,全,未勝利,3.97,5.03
321,ダート,1800,良,未勝利,4.17,4.81
322,ダート,1800,稍重,未勝利,4.56,5.5
323,ダート,1800,重,未勝利,1.23,4.65
324,ダート,1800,不良,未勝利,2.4,2.4
325,ダート,1800,全,新馬,3.2,5.2
326,ダート,1800,良,新馬,4.8,8.0
327,ダート,1800,稍重,新馬,2.4,3.8
328,ダート,1800,重,新馬,,
329,ダート,1800,不良,新馬,,
330,ダート,1800,全,1勝クラス,5.43,6.77
331,ダート,1800,良,1勝クラス,5.54,6.11
332,ダート,1800,稍重,1勝クラス,5.09,7.36
333,ダート,1800,重,1勝クラス,7.2,10.8
334,ダート,1800,不良,1勝クラス,,
335,ダート,1800,全,2勝クラス,3.84,5.61
336,ダート,1800,良,2勝クラス,5.42,5.67
337,ダート,1800,稍重,2勝クラス,2.1,6.57
338,ダート,1800,重,2勝クラス,1.2,2.4
339,ダート,1800,不良,2勝クラス,,
340,ダート,1800,全,3勝クラス,3.6,6.4
