,race_type,course_len,ground_state,class,winner_pops,place_pops
260,ダート,1200,全,1勝クラス,4.94,5.77
261,ダート,1200,良,1勝クラス,5.5,6.28
262,ダート,1200,稍重,1勝クラス,2.33,4.68
263,ダート,1200,重,1勝クラス,3.77,4.74
264,ダート,1200,不良,1勝クラス,6.47,5.53
265,ダート,1200,全,2勝クラス,4.18,5.48
266,ダート,1200,良,2勝クラス,3.17,4.96
267,ダート,1200,稍重,2勝クラス,4.88,7.0
268,ダート,1200,重,2勝クラス,,
269,ダート,1200,不良,2勝クラス,9.19,6.31
270,ダート,1200,全,3勝クラス,6.67,5.55
271,ダート,1200,良,3勝クラス,6.01,5.65
272,ダート,1200,稍重,3勝クラス,,
273,ダート,1200,重,3勝クラス,,
274,ダート,1200,不良,3勝クラス,11.25,4.88
275,ダート,1200,全,オープン,2.78,5.28
276,ダート,1200,良,オープン,2.76,6.43
277,ダート,1200,稍重,オープン,,
278,ダート,1200,重,オープン,2.81,3.56
279,ダート,1200,不良,オープン,,
280,ダート,1800,全,all,4.33,5.32
281,ダート,1800,良,all,4.15,5.21
282,ダート,1800,稍重,all,4.3,5.59
283,ダート,1800,重,all,4.37,5.28
284,ダート,1800,不良,all,5.44,5.69
285,ダート,1800,全,未勝利,3.81,4.68
286,ダート,1800,良,未勝利,3.53,4.54
287,ダート,1800,稍重,未勝利,3.66,5.24
288,ダート,1800,重,未勝利,5.78,4.79
289,ダート,1800,不良,未勝利,4.88,4.7
290,ダート,1800,全,新馬,5.62,7.45
291,ダート,1800,良,新馬,5.37,7.26
292,ダート,1800,稍重,新馬,7.31,8.25
293,ダート,1800,重,新馬,,
294,ダート,1800,不良,新馬,4.5,7.5
295,ダート,1800,全,1勝クラス,5.0,5.67
296,ダート,1800,良,1勝クラス,4.78,5.7
297,ダート,1800,稍重,1勝クラス,4.59,4.38
298,ダート,1800,重,1勝クラス,3.92,5.51
299,ダート,1800,不良,1勝クラス,9.15,6.97
300,ダート,1800,全,2勝クラス,4.4,5.76
301,ダート,1800,良,2勝クラス,4.99,5.62
302,ダート,1800,稍重,2勝クラス,1.69,5.44
303,ダート,1800,重,2勝クラス,3.38,5.44
304,ダート,1800,不良,2勝クラス,6.0,8.4
305,ダート,1800,全,3勝クラス,3.2,5.28
306,ダート,1800,良,3勝クラス,1.86,4.84
307,ダート,1800,稍重,3勝クラス,8.31,7.38
308,ダート,1800,重,3勝クラス,,
309,ダート,1800,不良,3勝クラス,4.01,5.3
310,ダート,1800,全,オープン,4.02,4.37
311,ダート,1800,良,オープン,4.3,3.88
312,ダート,1800,稍重,オープン,,
313,ダート,1800,重,オープン,,
314,ダート,1800,不良,オープン,3.46,5.33
