,race_type,course_len,ground_state,class,avg_frame,avg_horse,total_top3,frame_1_top3,frame_2_top3,frame_3_top3,frame_4_top3,frame_5_top3,frame_6_top3,frame_7_top3,frame_8_top3,horse_1_top3,horse_2_top3,horse_3_top3,horse_4_top3,horse_5_top3,horse_6_top3,horse_7_top3,horse_8_top3,horse_9_top3,horse_10_top3,horse_11_top3,horse_12_top3,horse_13_top3,horse_14_top3,horse_15_top3,horse_16_top3,horse_17_top3,horse_18_top3
73,芝,1600,重,all,4.79,7.9,30,4,4,2,3,4,3,1,9,3,3,2,2,0,2,2,1,2,3,2,1,2,2,1,1,0,1
74,芝,1600,不良,all,5.76,7.88,42,3,4,5,2,6,10,4,8,2,1,4,3,4,5,4,2,5,2,1,2,1,0,2,2,0,2
75,芝,1600,全,未勝利,4.78,8.03,418,43,49,52,43,48,52,66,65,27,31,28,37,25,32,27,22,31,26,21,25,14,26,15,12,10,9
76,芝,1600,良,未勝利,4.76,8.08,343,36,41,41,35,40,44,57,49,21,26,22,29,20,29,23,19,23,23,16,19,13,23,13,10,7,7
77,芝,1600,稍重,未勝利,4.87,7.81,60,7,7,9,6,6,4,8,13,6,5,5,7,4,1,3,2,6,3,3,5,1,2,2,1,3,1
78,芝,1600,重,未勝利,6.33,10.33,3,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
79,芝,1600,不良,未勝利,5.56,10.0,12,0,1,2,1,2,4,0,2,0,0,1,1,1,1,1,1,2,0,1,1,0,0,0,1,0,1
80,芝,1600,全,新馬,4.98,7.89,293,24,29,30,34,45,41,37,53,20,17,17,26,25,19,23,22,19,21,15,16,13,7,17,9,2,5
81,芝,1600,良,新馬,4.87,7.77,236,18,24,29,29,35,34,32,35,15,15,14,20,22,16,20,20,12,18,13,11,9,6,14,6,2,3
82,芝,1600,稍重,新馬,5.43,8.07,33,4,1,0,4,8,4,4,8,4,0,1,4,3,1,3,1,6,1,2,3,2,0,1,1,0,0
83,芝,1600,重,新馬,5.94,10.78,12,1,2,0,1,1,1,0,6,1,1,1,1,0,0,0,0,0,1,0,1,2,1,1,1,0,1
84,芝,1600,不良,新馬,5.78,9.5,12,1,2,1,0,1,2,1,4,0,1,1,1,0,2,0,1,1,1,0,1,0,0,1,1,0,1
85,芝,1600,全,1勝クラス,4.7,6.66,271,37,24,32,28,28,38,42,42,30,23,25,19,18,22,30,13,17,17,16,14,12,4,4,2,3,2
86,芝,1600,良,1勝クラス,4.77,6.83,235,32,21,27,24,23,32,38,38,26,20,20,18,16,19,24,12,14,13,14,12,12,4,4,2,3,2
87,芝,1600,稍重,1勝クラス,4.77,6.7,18,1,3,2,2,2,3,3,2,1,2,3,1,1,1,2,0,2,2,1,2,0,0,0,0,0,0
88,芝,1600,重,1勝クラス,3.84,5.84,9,2,0,1,1,2,1,0,2,1,1,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0
89,芝,1600,不良,1勝クラス,3.83,4.42,9,2,0,2,1,1,2,1,0,2,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0
90,芝,1600,全,2勝クラス,5.23,6.65,172,17,12,11,20,18,30,26,38,17,9,10,13,15,19,13,24,16,15,3,9,3,3,1,1,1,0
91,芝,1600,良,2勝クラス,5.28,6.57,142,14,8,10,17,16,25,21,31,14,7,8,12,14,17,9,22,11,12,2,7,3,2,0,1,1,0
92,芝,1600,稍重,2勝クラス,5.67,7.77,21,2,2,0,3,0,3,4,7,2,1,1,0,0,2,3,2,3,2,1,2,0,1,1,0,0,0
93,芝,1600,重,2勝クラス,3.17,4.84,6,1,2,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
